code_com,type_nom,nom,inscrits
01374,0,Saint-Martin-du-Mont,1462
01375,0,Saint-Martin-le-Châtel,645
01376,0,Saint-Maurice-de-Beynost,2488
01378,0,Saint-Maurice-de-Gourdans,2169
01379,0,Saint-Maurice-de-Rémens,536
01380,0,Saint-Nizier-le-Bouchoux,521
01381,0,Saint-Nizier-le-Désert,659
01382,0,Sainte-Olive,253
01383,0,Saint-Paul-de-Varax,1146
01384,0,Saint-Rambert-en-Bugey,1316
01385,0,Saint-Rémy,784
01386,0,Saint-Sorlin-en-Bugey,875
01387,0,Saint-Sulpice,171
01388,0,Saint-Trivier-de-Courtes,716
01389,0,Saint-Trivier-sur-Moignans,1318
01390,0,Saint-Vulbas,869
01391,0,Salavre,260
01392,0,Samognat,500
01393,0,Sandrans,450
01396,0,Sault-Brénaz,586
01397,0,Sauverny,615
01398,0,Savigneux,1035
01399,0,Ségny,1206
01400,0,Seillonnaz,129
01401,0,Sergy,1062
01402,0,Sermoyer,507
01403,0,Serrières-de-Briord,974
01404,0,Serrières-sur-Ain,127
01405,0,Servas,910
01406,0,Servignat,135
01407,0,Seyssel,674
01408,0,Simandre-sur-Suran,542
01410,0,Sonthonnax-la-Montagne,242
01411,0,Souclin,198
01412,0,Sulignat,443
01415,0,Talissieu,309
01416,0,Tenay,612
01418,0,Thil,921
01419,0,Thoiry,3323
01420,0,Thoissey,1038
01421,0,Torcieu,524
01422,0,Tossiat,1117
01423,0,Toussieux,814
01424,0,Tramoyes,1438
01425,3,Tranclière,238
01426,0,Val-Revermont,1883
01427,0,Trévoux,4121
01428,0,Valeins,107
01429,0,Vandeins,503
01430,0,Varambon,428
01431,0,Vaux-en-Bugey,921
01432,0,Verjon,263
01433,0,Vernoux,194
01434,0,Versailleux,335
01435,0,Versonnex,1261
01436,0,Vesancy,343
01437,0,Vescours,148
01439,0,Vésines,72
01441,0,Vieu-d'Izenave,481
01443,0,Villars-les-Dombes,3475
01444,0,Villebois,940
01445,0,Villemotier,464
01446,0,Villeneuve,1170
01447,0,Villereversure,930
01448,0,Villes,283
01449,0,Villette-sur-Ain,587
01450,0,Villieu-Loyes-Mollon,2904
01451,0,Viriat,4833
01452,0,Virieu-le-Grand,786
01453,1,Arvière-en-Valromey,589
01454,0,Virignin,745
01456,0,Vongnes,69
01457,0,Vonnas,2249
02001,1,Abbécourt,386
02002,1,Achery,444
02003,1,Acy,820
02004,1,Agnicourt-et-Séchelles,148
02005,1,Aguilcourt,315
02006,1,Aisonville-et-Bernoville,217
02007,1,Aizelles,102
02008,1,Aizy-Jouy,225
02009,1,Alaincourt,406
02010,1,Allemant,127
02011,1,Ambleny,1026
02012,1,Ambrief,55
02013,1,Amifontaine,303
02014,1,Amigny-Rouy,556
02015,1,Ancienville,67
02016,1,Andelain,164
02017,1,Anguilcourt-le-Sart,208
02018,1,Anizy-le-Grand,1883
02019,1,Annois,287
02020,1,Any-Martin-Rieux,356
02021,1,Archon,71
02022,1,Arcy-Sainte-Restitue,328
02023,1,Armentières-sur-Ourcq,97
02024,1,Arrancy,39
02025,1,Artemps,282
02027,1,Assis-sur-Serre,179
02028,1,Athies-sous-Laon,1934
02029,1,Attilly,255
02030,1,Aubencheul-aux-Bois,215
02031,1,Aubenton,426
02032,1,Aubigny-aux-Kaisnes,192
02033,1,Aubigny-en-Laonnois,89
02034,1,Audignicourt,89
02035,1,Audigny,200
02036,1,Augy,60
02037,1,Aulnois-sous-Laon,1041
02038,4,Autels,63
02039,1,Autremencourt,119
02040,1,Autreppes,143
02041,1,Autreville,670
02042,1,Azy-sur-Marne,298
02043,0,Bagneux,50
02044,0,Bancigny,28
02046,0,Barenton-Bugny,423
02047,0,Barenton-Cel,114
02048,0,Barenton-sur-Serre,91
02049,0,Barisis-aux-Bois,545
02050,0,Barzy-en-Thiérache,258
02051,0,Barzy-sur-Marne,292
02052,0,Bassoles-Aulers,115
02053,0,Vallées en Champagne,468
02054,0,Bazoches-et-Saint-Thibaut,398
02055,0,Beaumé,84
02056,0,Beaumont-en-Beine,135
02057,0,Beaurevoir,969
02058,0,Beaurieux,562
02059,0,Beautor,1838
02060,0,Beauvois-en-Vermandois,210
02061,0,Becquigny,211
02062,0,Belleau,108
02063,0,Bellenglise,273
02064,0,Belleu,2515
02065,0,Bellicourt,458
02066,0,Benay,168
02067,0,Bergues-sur-Sambre,174
02068,0,Berlancourt,69
02069,0,Berlise,92
02070,0,Bernot,346
02071,0,Berny-Rivière,491
02072,0,Berrieux,139
02073,0,Berry-au-Bac,431
02074,0,Bertaucourt-Epourdon,432
02075,0,Berthenicourt,156
02076,0,Bertricourt,118
02078,0,Besmé,114
02079,0,Besmont,117
02080,0,Besny-et-Loizy,260
02081,0,Béthancourt-en-Vaux,349
02082,0,Beugneux,92
02083,0,Beuvardes,548
02084,0,Bézu-le-Guéry,179
02085,0,Bézu-Saint-Germain,711
02086,0,Bichancourt,780
02087,0,Bieuxy,21
02088,0,Bièvres,56
02089,0,Billy-sur-Aisne,809
02090,0,Billy-sur-Ourcq,143
02091,0,Blanzy-lès-Fismes,65
02093,0,Blérancourt,876
02094,0,Blesmes,352
02095,0,Bohain-en-Vermandois,3440
02096,0,Bois-lès-Pargny,137
02097,0,Boncourt,197
02098,0,Bonneil,277
02099,0,Bonnesvalyn,187
02100,0,Bony,114
02101,0,Bosmont-sur-Serre,131
02102,0,Bouconville-Vauclair,135
02103,0,Boué,925
02104,0,Bouffignereux,89
02105,0,Bouresches,157
02106,0,Bourg-et-Comin,520
02107,0,Bourguignon-sous-Coucy,73
02108,0,Bourguignon-sous-Montbavin,118
02109,3,Bouteille,359
02110,0,Braine,1485
02111,0,Brancourt-en-Laonnois,528
02112,0,Brancourt-le-Grand,528
02114,0,Brasles,1077
02115,0,Braye-en-Laonnois,160
02116,0,Braye-en-Thiérache,130
02117,0,Bray-Saint-Christophe,66
02118,0,Braye,96
02119,0,Brécy,235
02120,0,Brenelle,146
02121,0,Breny,165
02122,0,Brie,45
02123,0,Brissay-Choigny,227
02124,0,Brissy-Hamégicourt,518
02125,0,Brumetz,169
02126,0,Brunehamel,369
02127,0,Bruyères-sur-Fère,150
02128,0,Bruyères-et-Montbérault,1169
02129,0,Bruys,27
02130,0,Bucilly,158
02131,0,Bucy-le-Long,1544
02132,0,Bucy-lès-Cerny,148
02133,0,Bucy-lès-Pierrepont,301
02134,0,Buire,679
02135,0,Buironfosse,784
02136,0,Burelles,130
02137,0,Bussiares,99
02138,0,Buzancy,142
02139,0,Caillouël-Crépigny,356
02140,0,Camelin,316
02141,3,Capelle,1247
02142,0,Castres,209
02143,2,Catelet,132
02144,0,Caulaincourt,114
02145,0,Caumont,454
02146,0,Celles-lès-Condé,65
02148,0,Celles-sur-Aisne,184
02149,0,Cerizy,51
02150,0,Cerny-en-Laonnois,50
02151,0,Cerny-lès-Bucy,84
02152,0,Cerseuil,70
02153,0,Cessières-Suzy,597
02154,0,Chacrise,252
02155,0,Chaillevois,136
02156,0,Chalandry,155
02157,0,Chambry,618
02158,0,Chamouille,163
02159,0,Champs,239
02160,0,Chaourse,351
02162,3,Chapelle-sur-Chézy,197
02163,0,Charly-sur-Marne,1667
02164,2,Charmel,265
02165,0,Charmes,1219
02166,0,Chartèves,260
02167,0,Chassemy,675
02168,0,Château-Thierry,9494
02169,0,Châtillon-lès-Sons,68
02170,0,Châtillon-sur-Oise,98
02171,0,Chaudardes,64
02172,0,Chaudun,177
02173,0,Chauny,7803
02174,0,Chavignon,587
02175,0,Chavigny,124
02176,0,Chavonne,150
02177,0,Chérêt,111
02178,0,Chermizy-Ailles,87
02179,0,Chéry-Chartreuve,278
02180,0,Chéry-lès-Pouilly,534
02181,0,Chéry-lès-Rozoy,73
02182,0,Chevennes,117
02183,0,Chevregny,170
02184,0,Chevresis-Monceau,222
02185,0,Chézy-en-Orxois,276
02186,0,Chézy-sur-Marne,971
02187,0,Chierry,840
02188,0,Chigny,123
02189,0,Chivres-en-Laonnois,241
02190,0,Chivres-Val,418
02191,0,Chivy-lès-Étouvelles,350
02192,0,Chouy,283
02193,0,Cierges,60
02194,0,Cilly,170
02195,0,Ciry-Salsogne,707
02196,0,Clacy-et-Thierret,233
02197,0,Clairfontaine,415
02198,0,Clamecy,182
02199,0,Clastres,414
02200,0,Clermont-les-Fermes,82
02201,0,Cœuvres-et-Valsery,231
02203,0,Coincy,890
02204,0,Coingt,63
02205,0,Colligis-Crandelain,147
02206,0,Colonfay,59
02207,0,Commenchon,157
02208,0,Concevreux,203
02209,0,Condé-en-Brie,432
02210,0,Condé-sur-Aisne,305
02211,0,Condé-sur-Suippe,229
02212,0,Condren,514
02213,0,Connigis,229
02214,0,Contescourt,40
02215,0,Corbeny,546
02216,0,Corcy,218
02217,0,Coucy-le-Château-Auffrique,617
02218,0,Coucy-lès-Eppes,444
02219,0,Coucy-la-Ville,120
02220,0,Coulonges-Cohan,336
02221,0,Coupru,122
02222,0,Courbes,29
02223,0,Courboin,227
02224,0,Courcelles-sur-Vesle,294
02225,0,Courchamps,58
02226,0,Courmelles,1401
02227,0,Courmont,90
02228,0,Courtemont-Varennes,214
02229,0,Courtrizy-et-Fussigny,60
02230,0,Couvrelles,133
02231,0,Couvron-et-Aumencourt,620
02232,0,Coyolles,151
02233,0,Cramaille,108
02234,0,Craonne,93
02235,0,Craonnelle,84
02236,0,Crécy-au-Mont,250
02237,0,Crécy-sur-Serre,971
02238,0,Crépy,1225
02239,0,Crézancy,794
02240,0,Croix-Fonsomme,164
02241,3,Croix-sur-Ourcq,76
02242,0,Crouttes-sur-Marne,433
02243,0,Crouy,2101
02244,0,Crupilly,47
02245,0,Cuffies,1180
02246,0,Cugny,430
02248,0,Cuirieux,116
02249,0,Cuiry-Housse,88
02250,0,Cuiry-lès-Chaudardes,47
02251,0,Cuiry-lès-Iviers,33
02252,0,Cuissy-et-Geny,59
02253,0,Cuisy-en-Almont,312
02254,0,Cutry,92
02255,0,Cys-la-Commune,108
02256,0,Dagny-Lambercy,91
02257,0,Dallon,313
02258,0,Dammard,274
02259,0,Dampleux,328
02260,0,Danizy,415
02261,0,Dercy,287
02262,0,Deuillet,187
02263,0,Dhuizel,103
02264,0,Dizy-le-Gros,582
02265,0,Dohis,66
02266,0,Dolignon,47
02267,0,Dommiers,216
02268,0,Domptin,468
02269,0,Dorengt,103
02270,0,Douchy,110
02271,0,Dravegny,105
02272,0,Droizy,71
02273,0,Dury,168
02274,1,Ébouleau,144
02275,1,Effry,254
02276,1,Englancourt,110
02277,1,Épagny,254
02278,1,Éparcy,43
02279,1,Épaux-Bézu,440
02280,1,Épieds,311
02281,5,Épine-aux-Bois,200
02282,1,Eppes,288
02283,1,Erlon,229
02284,1,Erloy,67
02286,1,Esquéhéries,641
02287,1,Essigny-le-Grand,949
02288,1,Essigny-le-Petit,291
02289,1,Essises,328
02290,1,Essômes-sur-Marne,2015
02291,1,Estrées,269
02292,1,Étampes-sur-Marne,950
